"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"In 2007, the mortgage and consumer debt-to-GDP ratio was more than 90%, compared to 24% for net foreign debt.","2007 lag das Verhältnis der Hypotheken- und Verbraucherschulden zum BIP bei über 90 %, gegenüber Netto-Auslandsschulden von 24 %."
"Of course, the various components of debt differ considerably in their character and sources of financing – and thus in their sustainability.","Selbstverständlich unterscheiden sich die verschiedenen Schuldenkomponenten erheblich in ihrem Charakter und ihren Finanzierungsquellen – und somit in ihrer Tragfähigkeit."
"But all parts of a country’s total debt and how it is financed are interconnected.","Aber alle Bestandteile der Gesamtschulden eines Landes und ihre Finanzierungsarten sind miteinander verbunden."
"This means two things.","Daraus ergeben sich zwei Dinge."
"First, funds from different sources of finance are interchangeable to a certain degree: deficiency of funds for one component of total debt can be supplemented by surplus funds originally aimed at financing other components.","Erstens, die Mittel aus unterschiedlichen Finanzierungsquellen sind zu einem gewissen Grad austauschbar: Fehlende Mittel für eine Komponente der Gesamtschulden können durch überschüssige Mittel ergänzt werden, die ursprünglich für die Finanzierung anderer Komponenten bestimmt waren."
"Second, troubles in any single component of total debt will have an impact on all the other components.","Zweitens, Schwierigkeiten in irgendeiner Komponente der Gesamtschulden haben Auswirkungen auf alle anderen Komponenten."
"After the subprime crisis erupted, mortgage and consumer debt was paid down by households either with their savings or by default.","Nachdem die Hypothekenkrise ausgebrochen war, zahlten die Privathaushalte einen Teil der Hypotheken- und Verbraucherschulden entweder mit ihren Ersparnissen oder wurden zahlungsunfähig."
"The fall in US total debt, and the narrowing of the financing gap between total debt and domestic funds, led to a significant improvement in the US current-account deficit in 2008-2009, disproving US Federal Reserve Board Chairman Ben Bernanke’s claim that the deficit was caused by a global “saving glut.”","Die Verringerung der US-Gesamtschulden und das Schrumpfen der Finanzierungslücke zwischen den Gesamtschulden und den Inlandsmitteln führten 2008 und 2009 zu einer erheblichen Verbesserung des US-Leistungsbilanzdefizits, was die Behauptung von US-Notenbankchef Ben Bernake widerlegte, dass das Defizit durch ein globales „Überangebot an Ersparnissen“ verursacht wurde."
"Indeed, America’s current-account position strengthened despite the dollar’s appreciation in the face of safe-haven demand.","Tatsächlich wurde Amerikas Leistungsbilanz stärker, obwohl der Dollar durch die Nachfrage nach einem „sicheren Hafen“ an Wert zulegte."
"Unfortunately, as a result of the private-sector deleveraging and an increase in household savings, the US economy, driven by debt and consumption, slid into recession.","Doch aufgrund des Schuldenabbaus im Privatsektor und einer Zunahme der privaten Ersparnisse glitt die US-Wirtschaft, die von Schulden und Konsum angetrieben wird, leider in die Rezession ab."
"To offset the negative impact of private-sector deleveraging on growth, the US government has maintained expansionary fiscal and monetary policies.","Um die negative Wirkung des Schuldenabbaus im Privatsektor auszugleichen, hat die US-Regierung eine expansive Fiskal- und Geldpolitik betrieben."
"Now, with household debt sustained on a knife-edge after feverish government intervention, the fiscal position has deteriorated dramatically and the current-account balance has worsened again.","Nun, nachdem die Privatschulden nach einer fieberhaften Intervention der Regierung auf Messers Scheide gehalten wurden, haben sich die Staatsfinanzen drastisch verschlechtert und die Leistungsbilanz ist wieder schwächer geworden."
"Sustainability of public debt has replaced sustainability of private debt as the biggest threat to financial stability, and the focus of debate about the US current account has shifted from the sustainability of foreign debt to the impact of reducing the external deficit on growth and employment.","Die Tragfähigkeit der Staatsschulden hat die Tragfähigkeit der Privatschulden als größte Gefahr für die Finanzstabilität abgelöst, und der Schwerpunkt der Debatte über die US-Leistungsbilanz hat sich von der Tragfähigkeit der Auslandsschulden auf die Auswirkungen des Auslandsschuldenabbaus auf Wachstum und Beschäftigung verlagert."
"The dilemma facing US policymakers is how to stimulate growth while lowering the level of total debt.","Das Dilemma, vor das sich die politischen Entscheidungsträger in den USA gestellt sehen, ist, wie sie das Wachstum ankurbeln sollen, während sie den Gesamtschuldenstand senken."
"The most important way to achieve both objectives is to increase exports by strengthening US competitiveness.","Die beste Möglichkeit, beide Ziele zu erreichen, besteht darin, die Exporte zu steigern, indem man die US-Wettbewerbsfähigkeit stärkt."
"But where will increased competitiveness come from?","Doch woher soll die gesteigerte Wettbewerbsfähigkeit kommen?"
"Devaluation of the dollar could improve US competitiveness in the short run, but it is not a solution.","Eine Abwertung des Dollars könnte die Wettbewerbsfähigkeit der USA kurzfristig verbessern, aber das ist keine Lösung."
"Because rapid fiscal deterioration now has investors worrying about capital losses on US government securities, devaluation would make foreigners more hesitant to finance America’s budget deficit.","Da sich die Anleger nun aufgrund der raschen Verschlechterung der Haushaltslage Sorgen über Kapitalverluste bei US-Staatsanleihen machen, würde eine Abwertung Ausländer noch zögerlicher machen, Amerikas Haushaltsdefizit zu finanzieren."
"If foreign financing is not forthcoming, yields on US government debt will rise and the US economy will fall back into recession.","Wenn keine Finanzierung aus dem Ausland kommt, werden die Zinsen für US-Staatsschulden steigen, und die US-Wirtschaft wird in die Rezession zurückfallen."
"In the long run, America’s growth pattern must undergo a structural shift from reliance on debt and consumption one based on Americans vaunted capacity for creativity and innovation.","Langfristig muss Amerikas Wachstumsmuster einer strukturellen Veränderung unterzogen werden – von der Abhängigkeit von Schulden und Konsum hin zu einem Wachstum, das auf der viel gepriesenen Kreativitäts- und Innovationsfähigkeit der Amerikaner beruht."
"Only then will America improve its competitiveness enough to allow the government to reduce both private and public debt to sustainable levels while maintaining a respectable growth rate.","Erst dann wird Amerika seine Wettbewerbsfähigkeit so sehr steigern, dass der Staat sowohl die privaten als auch die öffentlichen Schulden auf ein tragfähiges Niveau senken und gleichzeitig eine ansehnliche Wachstumsrate beibehalten kann."
"But neither improved competitiveness, nor reduction of total debt, can be achieved overnight.","Doch weder die Verbesserung der Wettbewerbsfähigkeit noch die Verringerung der Gesamtschulden kann über Nacht erreicht werden."
"In the short run, the US current-account deficit will remain, regardless of which country runs bilateral surpluses.","Kurzfristig wird das US-Leistungsbilanzdefizit bleiben, unabhängig davon, welches Land bilaterale Überschüsse erwirtschaftet."
"Thus, China’s continued reinvestment of its current-account surplus in US government securities is of utmost important for US growth and financial stability.","Daher ist Chinas beständige Reinvestition seines Leistungsbilanzüberschusses in US-Staatsanleihen äußerst wichtig für das Wachstum und die Finanzstabilität der USA."
"Given that America benefits mightily from China’s purchases of US government securities, it is difficult to understand why the US government and Congress have been complaining so much about the bilateral current-account deficit.","Zumal Amerika stark davon profitiert, dass China US-Staatsanleihen kauft, ist es schwer verständlich, warum die US-Regierung und der Kongress sich so sehr über das bilaterale Leistungsbilanzdefizit beklagen."
"It is also difficult to grasp why China is so reluctant to reduce its bilateral surplus, given meager returns on its massive holdings of US government securities and a sustained risk of large capital losses in the future.","Ebenso schwer zu verstehen ist, warum es China so sehr widerstrebt, seinen bilateralen Überschuss zu reduzieren, zumal die Gewinne für seine massiven Bestände an US-Staatsanleihen dürftig sind und das Risiko gewaltiger Kapitalverluste in der Zukunft weiterhin fortbesteht."
"The good news is that, following President Hu Jintao’s recent visit to Washington, both America and China have been taking positive steps to resolve their differences over the bilateral current-account balance.","Die gute Nachricht lautet, dass sowohl Amerika als auch China im Anschluss an den jüngsten Washington-Besuch von Präsident Hu Jintao positive Schritte unternommen haben, um ihre Differenzen hinsichtlich der bilateralen Leistungsbilanz zu beseitigen."
